loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
2018-09-06 10:04:54.941 -0400,253,440522.1193,-1.006896973,-0.03228759766,0.1647186279
2018-09-06 10:04:54.955 -0400,254,440522.1361,-0.9998168945,-0.07308959961,0.09623718262
2018-09-06 10:04:54.974 -0400,255,440522.153,-0.993347168,-0.05491638184,0.08395385742
2018-09-06 10:04:54.989 -0400,256,440522.1699,-1.012390137,-0.06916809082,0.06800842285
2018-09-06 10:04:55.009 -0400,257,440522.1867,-1.000411987,-0.1217041016,0.1253509521
2018-09-06 10:04:55.023 -0400,258,440522.2036,-0.9965057373,-0.06370544434,0.2289428711
2018-09-06 10:04:55.042 -0400,259,440522.2205,-1.007644653,-0.0302734375,0.3116912842
2018-09-06 10:04:55.057 -0400,260,440522.2373,-1.004364014,0.02471923828,0.3131713867
2018-09-06 10:04:55.076 -0400,261,440522.2542,-1.002075195,0.03303527832,0.214050293
2018-09-06 10:04:55.090 -0400,262,440522.2711,-1.002304077,0.03399658203,0.1232910156
2018-09-06 10:04:55.110 -0400,263,440522.288,-1.008483887,0.04577636719,0.09214782715
2018-09-06 10:04:55.125 -0400,264,440522.3048,-1.003036499,-0.01171875,-0.009857177734
2018-09-06 10:04:55.144 -0400,265,440522.3217,-0.9942169189,-0.03135681152,0.002059936523
2018-09-06 10:04:55.158 -0400,266,440522.3386,-1.000152588,-0.05491638184,0.0725402832
2018-09-06 10:04:55.177 -0400,267,440522.3554,-0.9991760254,-0.06326293945,0.07551574707
2018-09-06 10:04:55.192 -0400,268,440522.3723,-1.000015259,-0.06425476074,0.05874633789
2018-09-06 10:04:55.211 -0400,269,440522.3892,-0.9956359863,-0.06967163086,0.00749206543
2018-09-06 10:04:55.225 -0400,270,440522.406,-1.00302124,-0.08934020996,-0.0453338623
2018-09-06 10:04:55.244 -0400,271,440522.4229,-1.004516602,-0.07313537598,-0.04881286621
2018-09-06 10:04:55.259 -0400,272,440522.4398,-1.001296997,-0.07214355469,-0.02017211914
2018-09-06 10:04:55.278 -0400,273,440522.4566,-1.002059937,-0.05935668945,0.006439208984
2018-09-06 10:04:55.293 -0400,274,440522.4735,-0.9996185303,-0.06083679199,0.009414672852
2018-09-06 10:04:55.317 -0400,275,440522.4904,-1.001083374,-0.06034851074,0.008911132813
2018-09-06 10:04:55.346 -0400,276,440522.5073,-1.003662109,-0.05541992188,0.02122497559
2018-09-06 10:04:55.348 -0400,277,440522.5241,-1.001937866,-0.0505065918,0.04885864258
2018-09-06 10:04:55.361 -0400,278,440522.541,-1.003768921,-0.03869628906,0.08631896973
2018-09-06 10:04:55.379 -0400,279,440522.5579,-1.004440308,-0.04066467285,0.1094970703
